IDRC Kenya,,Project: ,,,,,,,,,
09-May-2019,,Created : ,,,,,,,,,
Process ID,Sample ID,Sample ID,Order,Genus,Species,Subspecies,Country/Ocean,Exact Site,Lat,Lon,Elev
KALG137-10,GB54-137,GB54-137,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.429,39.512,
KALG138-10,GB54-138,GB54-138,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.429,39.512,
KALG139-10,GB54-139,GB54-139,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.429,39.512,
KALG140-10,GB54-140,GB54-140,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.429,39.512,
KALG156-10,WT95-156,WT95-156,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-3.366,40.004,
KALG157-10,WT95-157,WT95-157,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-3.366,40.004,
KALG158-10,WT95-158,WT95-158,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-3.366,40.004,
KALG159-10,WT95-159,WT95-159,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-3.366,40.004,
KALG160-10,WT95-160,WT95-160,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-3.366,40.004,
KALG020-10,FJ9-030,FJ9-030,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.26,39.599,
KALG019-10,FJ9-029,FJ9-029,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.26,39.599,
KALG018-10,FJ9-028,FJ9-028,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.26,39.599,
KALG017-10,FJ9-027,FJ9-027,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.26,39.599,
KALG089-10,CM33-089,CM33-089,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.26,39.599,
KALG176-10,VG109-176,VG109-176,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-3.225,40.13,
KALG177-10,VG109-177,VG109-177,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-3.225,40.13,
KALG178-10,VG109-178,VG109-178,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-3.225,40.13,
KALG148-10,JR66-148,JR66-148,Gracilariales,Gracilaria,Gracilaria sp.,,Kenya,,-3.944,39.774,
KALG149-10,JR66-149,JR66-149,Gracilariales,Gracilaria,Gracilaria sp.,,Kenya,,-3.944,39.774,
KALG150-10,JR66-150,JR66-150,Gracilariales,Gracilaria,Gracilaria sp.,,Kenya,,-3.944,39.774,
KALG155-10,JR68-155,JR68-155,Gracilariales,Gracilaria,Gracilaria sp.,,Kenya,,-3.944,39.774,
KALG154-10,JR68-154,JR68-154,Gracilariales,Gracilaria,Gracilaria sp.,,Kenya,,-3.944,39.774,
KALG153-10,JR68-153,JR68-153,Gracilariales,Gracilaria,Gracilaria sp.,,Kenya,,-3.944,39.774,
KALG152-10,JR68-152,JR68-152,Gracilariales,Gracilaria,Gracilaria sp.,,Kenya,,-3.944,39.774,
KALG151-10,JR68-151,JR68-151,Gracilariales,Gracilaria,Gracilaria sp.,,Kenya,,-3.944,39.774,
KALG146-10,JR66-146,JR66-146,Gracilariales,Gracilaria,Gracilaria sp.,,Kenya,,-3.944,39.774,
KALG147-10,JR66-147,JR66-147,Gracilariales,Gracilaria,Gracilaria sp.,,Kenya,,-3.944,39.774,
KALG051-10,CM22-051,CM22-051,Gigartinales,Hypnea,Hypnea cornuta,,Kenya,,-4.26,39.599,
KALG054-10,CM22-054,CM22-054,Gigartinales,Hypnea,Hypnea cornuta,,Kenya,,-4.26,39.599,
KALG053-10,CM22-053,CM22-053,Gigartinales,Hypnea,Hypnea cornuta,,Kenya,,-4.26,39.599,
KALG052-10,CM22-052,CM22-052,Gigartinales,Hypnea,Hypnea cornuta,,Kenya,,-4.26,39.599,
KALG055-10,CM22-055,CM22-055,Gigartinales,Hypnea,Hypnea cornuta,,Kenya,,-4.26,39.599,
KALG171-10,VG104-171,VG104-171,Gigartinales,Hypnea,Hypnea nidifca,,Kenya,,-3.225,40.13,
KALG175-10,VG104-175,VG104-175,Gigartinales,Hypnea,Hypnea nidifca,,Kenya,,-3.225,40.13,
KALG174-10,VG104-174,VG104-174,Gigartinales,Hypnea,Hypnea nidifca,,Kenya,,-3.225,40.13,
KALG173-10,VG104-173,VG104-173,Gigartinales,Hypnea,Hypnea nidifca,,Kenya,,-3.225,40.13,
KALG172-10,VG104-172,VG104-172,Gigartinales,Hypnea,Hypnea nidifca,,Kenya,,-3.225,40.13,
KALG050-10,FJ19-050,FJ19-050,Gigartinales,Hypnea,Hypnea sp.,,Kenya,,-4.26,39.599,
KALG049-10,FJ19-049,FJ19-049,Gigartinales,Hypnea,Hypnea sp.,,Kenya,,-4.26,39.599,
KALG048-10,FJ19-048,FJ19-048,Gigartinales,Hypnea,Hypnea sp.,,Kenya,,-4.26,39.599,
KALG047-10,FJ19-047,FJ19-047,Gigartinales,Hypnea,Hypnea sp.,,Kenya,,-4.26,39.599,
KALG046-10,FJ19-046,FJ19-046,Gigartinales,Hypnea,Hypnea sp.,,Kenya,,-4.26,39.599,
KALG083-10,CM31-083,CM31-083,Dictyotales,Padina,Padina sp.,,Kenya,,-4.26,39.599,
KALG081-10,CM31-081,CM31-081,Dictyotales,Padina,Padina sp.,,Kenya,,-4.26,39.599,
KALG082-10,CM31-082,CM31-082,Dictyotales,Padina,Padina sp.,,Kenya,,-4.26,39.599,
KALG085-10,CM31-085,CM31-085,Dictyotales,Padina,Padina sp.,,Kenya,,-4.26,39.599,
KALG084-10,CM31-084,CM31-084,Dictyotales,Padina,Padina sp.,,Kenya,,-4.26,39.599,
KALG013-10,FJ6-013,FJ6-013,Gigartinales,Phacelocarpus,Phacelocarpus tristichus,,Kenya,,-4.26,39.599,
KALG014-10,FJ6-014,FJ6-014,Gigartinales,Phacelocarpus,Phacelocarpus tristichus,,Kenya,,-4.26,39.599,
KALG015-10,FJ6-015,FJ6-015,Gigartinales,Phacelocarpus,Phacelocarpus tristichus,,Kenya,,-4.26,39.599,
KALG011-10,FJ6-011,FJ6-011,Gigartinales,Phacelocarpus,Phacelocarpus tristichus,,Kenya,,-4.26,39.599,
KALG012-10,FJ6-012,FJ6-012,Gigartinales,Phacelocarpus,Phacelocarpus tristichus,,Kenya,,-4.26,39.599,
KALG116-10,CM39-116,CM39-116,Gelidiales,Pterocladiella,Pterocladiella capillacea,,Kenya,,-4.26,39.599,
KALG119-10,CM39-119,CM39-119,Gelidiales,Pterocladiella,Pterocladiella capillacea,,Kenya,,-4.26,39.599,
KALG118-10,CM39-118,CM39-118,Gelidiales,Pterocladiella,Pterocladiella capillacea,,Kenya,,-4.26,39.599,
KALG117-10,CM39-117,CM39-117,Gelidiales,Pterocladiella,Pterocladiella capillacea,,Kenya,,-4.26,39.599,
KALG120-10,CM39-120,CM39-120,Gelidiales,Pterocladiella,Pterocladiella capillacea,,Kenya,,-4.26,39.599,
KALG186-10,VG112-186,VG112-186,Gigartinales,Solieria,Solieria robusta,,Kenya,,-3.225,40.13,
KALG187-10,VG112-187,VG112-187,Gigartinales,Solieria,Solieria robusta,,Kenya,,-3.225,40.13,
KALG188-10,VG112-188,VG112-188,Gigartinales,Solieria,Solieria robusta,,Kenya,,-3.225,40.13,
KBIR095-11,06536-A1,06536-A1,Passeriformes,Alcippe,,,Kenya,Muruasigar,3.033,35,2134
KBIR099-11,06536-A5,06536-A5,Passeriformes,Alcippe,,,Kenya,Muruasigar,3.033,35,2134
KBIR098-11,06536-A4,06536-A4,Passeriformes,Alcippe,,,Kenya,Muruasigar,3.033,35,2134
KBIR097-11,06536-A3,06536-A3,Passeriformes,Alcippe,,,Kenya,Muruasigar,3.033,35,2134
KBIR096-11,06536-A2,06536-A2,Passeriformes,Alcippe,,,Kenya,Muruasigar,3.033,35,2134
KBIR104-11,06536-A10,06536-A10,Passeriformes,Alcippe,,,Kenya,Kamwega-Kipsamoite road,0.333,34.967,2134
KBIR103-11,06536-A9,06536-A9,Passeriformes,Alcippe,,,Kenya,Kamwega-Kipsamoite road,0.333,34.967,2134
KBIR102-11,06536-A8,06536-A8,Passeriformes,Alcippe,,,Kenya,Kamwega-Kipsamoite road,0.333,34.967,2134
KBIR101-11,06536-A7,06536-A7,Passeriformes,Alcippe,,,Kenya,Kamwega-Kipsamoite road,0.333,34.967,2134
